10000094	NA	74430		Hugh	Albert O'Donnell			Hugh Albert O'Donnell	Hugh Albert O'Donnell									Hugh Albert O'Donnell	IN	1606	1606	IN	1642	1642	1606-1642	army officer in the Austrian service	205	1606	1632	NA	NA	NA
10000095	NA	279		Eleazar	Albin			Eleazar Albin	Eleazar Albin									Albin, Eleazar	AF	1632	NA	CA	1742	1742	d. 1742?	naturalist and watercolour painter	926	1701	1759	NA	NA	NA
10000096	NA	280		Henry	Albin			Henry Albin	Henry Albin									Albin, Henry	IN	1624	1624	IN	1696	1696	1624-1696	clergyman and ejected minister	465	1624	1672	NA	NA	NA
10000097	NA	289		John	Alcock			John Alcock	John Alcock									Alcock, John	IN	1430	1430	IN	1500	1500	1430-1500	administrator and bishop of Ely	1340	1500	1704	NA	NA	NA
10000098	NA	295		Thomas	Alcock			Thomas Alcock	Thomas Alcock									Alcock, Thomas	AF	1454	NA	IN	1564	1564	d. 1564	merchant	322	1557	1564	NA	NA	NA
10000099	NA	299		Thomas	Aldam			Thomas Aldam	Thomas Aldam									Aldam, Thomas	CA	1616	1616	IN	1660	1660	1616?-1660	Quaker preacher and writer	419	1616	1660	NA	NA	NA
10000100	NA	300		John	Alday			John Alday	John Alday									Alday, John	IN	1566	1566	IN	1579	1579	fl. 1566-1579	translator	597	1558	1663	NA	NA	NA
10000101	NA	302		Laurence	Aldersey			Laurence Aldersey	Laurence Aldersey									Aldersey, Laurence	IN	1546	1546	IN	1597	1598	1546-1597/8	sea captain	566	1539	1589	NA	NA	NA
10000102	NA	73473		Thomas	Aldersey			Thomas Aldersey	Thomas Aldersey									Aldersey, Thomas	IN	1521	1522	IN	1598	1598	1521/2-1598	merchant	1389	1541	1616	NA	NA	NA
10000103	NA	73474		William	Aldersey			William Aldersey	William Aldersey									Aldersey, William	IN	1543	1543	IN	1616	1616	1543-1616	merchant and antiquary	567	1543	1616	NA	NA	NA
